StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3,Q4,Q4_1_TEXT,Q5,Q5_5_TEXT,Q6,Q6_4_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"From your perspective, how important is it for DNR’s fishery management plans to emphasize shoreline angling opportunities? (1 - Not Important, 5 - Very Important) - Importance","From your perspective, how important is it to engage shoreline anglers in policymaking processes? (1 - Not Important, 5 - Very Important) - Importance","In your experience, how effective has the program been in incorporating shoreline angler perspectives into policymaking decisions?",Are you aware of any efforts to include shoreline angling opportunities or shoreline angler groups in fisheries management decisions or policies? - Selected Choice,"Are you aware of any efforts to include shoreline angling opportunities or shoreline angler groups in fisheries management decisions or policies? - Yes (If yes, please specify) - Text",What are the barriers or challenges that prevent the DNR from effectively incorporating shoreline angler perspectives into policymaking decisions? (Check all that apply) - Selected Choice,What are the barriers or challenges that prevent the DNR from effectively incorporating shoreline angler perspectives into policymaking decisions? (Check all that apply) - Other (Please specify) - Text,Are you aware of specific communication methods that have proven particularly successful in connecting with shoreline anglers? - Selected Choice,"Are you aware of specific communication methods that have proven particularly successful in connecting with shoreline anglers? - Yes (If yes, please share examples) - Text",What strategies or resources do you think the DNR should use to incorporate the perspectives of shoreline anglers into policymaking decisions? (Check all that apply) - Selected Choice,What strategies or resources do you think the DNR should use to incorporate the perspectives of shoreline anglers into policymaking decisions? (Check all that apply) - Other (Please specify) - Text,Are you aware of specific engagement initiatives or programs that have demonstrated success in incorporating shoreline angler perspectives into management decisions? - Selected Choice,Are you aware of specific engagement initiatives or programs that have demonstrated success in incorporating shoreline angler perspectives into management decisions? - Yes (Please provide an example) - Text,Optional: How can the DNR improve its communication and outreach efforts to ensure that shoreline anglers have the opportunity to provide input into fisheries management decision-making process?,"Optional: Do you have any other thoughts, suggestions, or ideas regarding shoreline angling opportunities and shoreline angler participation in the Bureau's policymaking processes?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_1_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_4_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_8_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID9_TEXT""}"
2023-11-17 07:41:43,2023-11-17 07:43:44,IP Address,165.189.255.59,100,120,True,2023-11-17 07:43:44,R_2EytRNl3VDkNAiv,,,,,43.1228,-89.3841,anonymous,EN,4,2,Slightly effective,No,,"Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers",,No,,"User-friendly online surveys,Partner with local community groups",,No,,,
2023-11-17 07:42:12,2023-11-17 07:44:05,IP Address,165.189.255.46,100,112,True,2023-11-17 07:44:06,R_tYurJrCU2HfeECd,,,,,43.1004,-89.2716,anonymous,EN,3,3,Slightly effective,Unsure,,"Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,"Yes (If yes, please share examples)",Roving creel surveys,"Host public meetings specifically for shoreline anglers,Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups",,Unsure,,,
2023-11-17 07:43:05,2023-11-17 07:56:58,IP Address,165.189.255.44,100,833,True,2023-11-17 07:56:59,R_2WPfGw7fE1rkGF0,,,,,43.1004,-89.2716,anonymous,EN,4,4,Moderately effective,"Yes (If yes, please specify)","There is dedicated funding to develop shoreline opportunities and shoreline opportunities are somewhat highlighted on DNR website ","Limited knowledge of shoreline angler perspectives and interests,Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,Unsure,,"Targeted online education and outreach initiatives,Partner with local community groups",,Unsure,,,"The mapping of shore-access sites on DNR website is incomplete, it is missing a lot of sites."
2023-11-17 07:53:34,2023-11-17 07:57:38,IP Address,165.189.255.35,100,244,True,2023-11-17 07:57:39,R_xr1eQYN8XLjJRsZ,,,,,43.1004,-89.2716,anonymous,EN,3,3,Moderately effective,No,,"Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,No,,"Targeted online education and outreach initiatives,User-friendly online surveys,Partner with local community groups",,No,,When conducting creel surveys ask shoreline anglers if they would like to give contact info to be contacted to complete surveys of get information relevant to them.,We need to identify who shoreline anglers are and how to contact them.
2023-11-17 07:54:31,2023-11-17 07:59:44,IP Address,165.189.255.45,100,313,True,2023-11-17 07:59:45,R_Zq9vzFD3rUOHklj,,,,,43.1004,-89.2716,anonymous,EN,5,3,Slightly effective,"Yes (If yes, please specify)",DNR Spring Hearings are open to anyone however generally a small number of individuals participate An effort to target shoreline anglers in urban settings could potentially help,"Limited knowledge of shoreline angler perspectives and interests,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,"Yes (If yes, please share examples)",It seems social media is how everyone communicates these days...but perhaps a boots on the ground approach might work also.,"Targeted online education and outreach initiatives,Host public meetings specifically for shoreline anglers,User-friendly online surveys,Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups",,No,,Dedicate more staff and staff time to this effort.,no
2023-11-17 07:53:05,2023-11-17 08:00:22,IP Address,165.189.255.35,100,437,True,2023-11-17 08:00:23,R_r1mrFsqQoAuekWR,,,,,43.1004,-89.2716,anonymous,EN,4,3,Moderately effective,Unsure,,"Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,Unsure,,"Targeted online education and outreach initiatives,Host public meetings specifically for shoreline anglers,Partner with local community groups",,Yes (Please provide an example),WCC/NRB meetings. Shoreline anglers have the same opportunities as other user groups.,,"Policymaking needs to be defined. The shoreline anglers have the same opportunity to attend WCC/NRB/other meetings as everyone else. They need to show initiative.  "
2023-11-17 08:07:08,2023-11-17 08:09:38,IP Address,165.189.255.46,100,149,True,2023-11-17 08:09:38,R_1I4TpHLi4eD6is2,,,,,43.1004,-89.2716,anonymous,EN,4,5,Very effective,Unsure,,"Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,Unsure,,"Targeted online education and outreach initiatives,Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups,Unsure",,Unsure,,,
2023-11-17 08:00:05,2023-11-17 08:11:17,IP Address,165.189.255.43,100,671,True,2023-11-17 08:11:17,R_3FVUx03IA5EhbyJ,,,,,43.1004,-89.2716,anonymous,EN,4,3,Slightly effective,"Yes (If yes, please specify)",Incorporation of shoreline angling opportunities like shore fishing stations and accessible piers into online mappers and featured in communications and Consideration of shoreline angling communities in relevancy analyses and recreational opportunity analyses like SCORP,"Limited knowledge of shoreline angler perspectives and interests,Lack of knowledge of how to communicate and engage with shoreline anglers,Lack of organizational structure among shoreline anglers,Other (Please specify)",The general challenge of incorporating the perspectives of a non dominant group  Its easy enough to respond to and incorporate perspectives of larger groups of anglers that have representation through organized groups or associations or whose views are just very dominant in the public conversation Its challenging to address those at the same time as addressing the perspectives of each less vocal or less dominant group which would certainly include shoreline anglers,No,,"User-friendly online surveys,Partner with local community groups",,Yes (Please provide an example),SCORP analyses have done a decent job.,More outreach/education to underrepresented groups about getting involved with the Wisconsin Conservation Congress,
